XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
H2AC17,NM_003514.2,0.021677323940664683,0.2099943412134057,0.10322813374592418,0.9177819116816095,0.9997299078530111,2.406048059171018
H2AC4,NM_003513.3,-0.031877199939460255,0.19150397860185328,-0.16645711578522662,0.8677972289350508,0.9997043582906195,2.392671266582086
H2AC6,NM_003512.4,-0.10981686234292742,0.14105262464437274,-0.7785524205579435,0.4362434159118336,0.9805808749412689,2.8097370886976876
H2AC8,NM_021052.4,-0.18438077076906856,0.1317742892956996,-1.3992165827987946,0.16174804528647146,0.7680356358456353,2.9023611150972553
H2BC11,NM_021058.4,-0.06956821409097325,0.11834377296004828,-0.5878485394787845,0.5566339601714418,0.9805808749412689,2.960991305779912
H2BC12,NM_001312653.2,-0.19952528015981885,0.10482995686647485,-1.9033231160627144,0.05699839634563596,0.5285055502977218,3.2510603529154114
H2BC12,NM_080593.2,-9.828953186756806e-4,0.3444771137897848,-0.0028532964290785565,0.9977234019209229,0.9997299078530111,2.2038863005939824
H2BC13,NM_003519.4,-0.20092114544474593,0.21474421839860763,-0.9356300576707338,0.3494636931795657,0.9432302812622864,2.3588193316930814
H2BC15,NM_003520.4,0.08819808121292616,0.1747586830868032,0.5046849727582228,0.6137801172888584,0.9805808749412689,2.521705145823164
H2BC17,NM_003527.4,-0.05331464747423831,0.18998558949958766,-0.2806246916656488,0.7789982755254828,0.9888412045606825,2.464119006228587
H2BC4,NM_003526.3,-0.17907744217588561,0.1461741668323866,-1.2250963768531562,0.2205389101429479,0.8226246342955361,2.7900355039365747
H2BC5,NM_021063.4,-0.11563838286111117,0.1592230745409115,-0.7262664861517827,0.46767542038246795,0.9805808749412689,2.7208067869956736
H2BC7,NM_003522.4,-0.4933382716696195,0.38997478456708295,-1.2650517192214927,0.20585278856673964,0.8022487180591629,1.765771574283849
H2BC8,NM_003518.4,-0.18719354082005957,0.13674670635192931,-1.3689071262769652,0.17102830789120757,0.7809115429004677,2.8268933978319515
H3C1,NM_003529.3,0.04921318491287785,0.17675790064537392,0.27842141558137956,0.7806888819135105,0.9888412045606825,2.4542237584834714
H3C10,NM_003536.3,-0.056127012765796236,0.11355674677797067,-0.494264007717105,0.6211197405500053,0.9805808749412689,3.0410494163766737
H3C11,NM_003533.3,0.06531174519386251,0.1504924565503989,0.43398683688833306,0.6642979997537435,0.9878880037402346,2.686835267505991
H3C2,NM_003537.4,-0.06301997887863342,0.09708164375300046,-0.6491441269677275,0.5162452220174747,0.9805808749412689,3.201221319957921
H3C6,NM_001381999.1,0.13420365984636845,0.28661172240361465,0.468242047885882,0.6396115059568948,0.9805808749412689,1.6687304944801107
H3C7,NM_021018.3,-0.13463875678722248,0.1780412408074794,-0.7562223009488619,0.44951592416507347,0.9805808749412689,2.548007972278395
H4C1,NM_003538.4,0.0844794477835471,0.26617059143957733,0.3173883610756621,0.7509489375591273,0.9888412045606825,2.100043308570501
H4C11,NM_021968.4,0.19857826522292732,0.237697751442539,0.8354234064806945,0.403479355561701,0.9805808749412689,2.325510165951094
H4C12,NM_003541.3,-0.12760543700656002,0.17222868107963984,-0.7409070092544824,0.4587498252826408,0.9805808749412689,2.6351474974859763
H4C2,NM_003544.3,-0.030926020005588528,0.14408413001161702,-0.2146386281618598,0.8300490748345796,0.9946277707069531,2.7082065063943292
H4C3,NM_003542.4,-0.18209149790781431,0.12826845619353716,-1.4196124543127466,0.15572053760236848,0.7680356358456353,2.948547693326772
H4C4,NM_003539.4,-0.12180652964429939,0.18283780039694686,-0.6661999290073137,0.5052833183098238,0.9805808749412689,2.482492985435708
H4C5,NM_003545.4,-0.09704817632408624,0.13370327414130614,-0.7258474180783303,0.46793231415634623,0.9805808749412689,2.8457282394921988
H4C8,NM_003543.4,-0.1073691145842477,0.13844700140681918,-0.7755250275789596,0.4380294824780651,0.9805808749412689,2.823640830381639
HCG11,NR_026790.1_2,0.2775464451395079,0.25623116755461606,1.0831876847313995,0.27872512491007434,0.9043892313283526,1.7994622852700346
HLA-A,NM_002116.8_4,-0.15877319162883197,0.3210740580994965,-0.4945064467949955,0.6209485545435003,0.9805808749412689,2.601205200910423
HLA-B,NM_005514.8_6,-0.03929716041668563,0.34614794291001577,-0.1135270661622891,0.9096127060955661,0.9997299078530111,2.4490836573752963
HLA-C,NM_002117.6_6,0.3042464247391403,0.19493586522618103,1.5607514009088475,0.11858241823856233,0.7680356358456353,2.966431483507934
HLA-DPB1,NM_002121.6_8,-0.09324276928305286,0.7493363736921562,-0.12443379576467621,0.9009718161284581,0.9997299078530111,1.4358268640717387
HLA-DQB1,NM_002123.5,0.14345400772577088,0.5033255585644234,0.28501236482988856,0.775634668878757,0.9888412045606825,1.744482541612993
